,Tweets
152,The poverty &amp; those unemployed because of Covid19 in Sindh is far greater proportionally than in other provinces acc to applications received by my PM Relief Fund - 32% of all applicants are from Sindh whereas pop of Sindh comprises around 22% of Pak's pop. While distributing
153,طارق عزیز کی رحلت کے بارے میں جان کر نہایت افسردہ ہوں۔ وہ اپنے دور کی ایک نامور شخصیت اور ٹیلی ویژن پر تفریحی پروگرام (ٹی وی گیم شو) کے موجد تھے۔ میری دعائیں اور ہمدردیاں اہل خانہ کے ساتھ ہیں۔
154,"Saddened to learn of the passing of Tariq Aziz, an icon in his time and a pioneer of our TV game shows. My condolences and prayers go to his family."
155,ہماری حکومت نے نادار شہریوں کو وباء (COVID19) کے اثرات سے محفوظ رکھنے کیلئے نہایت کامیابی سے 9 ہفتوں میں 10 ملین سے زائد خاندانوں میں شفاف ترین طریقے سے 120 ارب روپے تقسیم کئے۔
156,"اس رپورٹ کےمطابق ہندوستان میں 34% گھرانوں کیلئےاضافی امداد کےبغیر ہفتہ بھر گزارہ بھی مشکل ہے۔ چنانچہ میں بھارت کی مدد کرنےاورنقد رقوم کی تقسیم کےکامیاب ترین پروگرام جسکی شفافیت اورعوام تک رسائی کی عالمی سطح پرتحسین کی گئی، کی تفاصیل فراہم کرنےکو تیار ہوں۔
https://t.co/CcvUf6wERM"
157,ڈاکٹراعجازاحسن کی رحلت کی خبرصدمہ انگیزہے۔وہ تحریک انصاف کےبانیان میں سےتھےاوران کٹھن ایام میں ہمارےساتھ کھڑےہوئےجب روایتی سیاسی طبقہ ہمیں نشانہ تضحیک بنایاکرتا۔ وہ ہماری مرکزی مجلس عاملہ کےرکن تھےاورنہایت تندہی سےاجلاسوں میں شریک رہتے۔میری دعائیں اورہمدردیاں اہل خانہ کیساتھ ہیں
158,Our govt successfully transferred Rs. 120 billion in 9 weeks to over 10 million families in a transparent manner to deal with the COVID19 fallout on the poor.
159,"Acc to this report, 34% of households across India will not be able to survive for more than a week without add assistance. I am ready to offer help &amp; share our successful cash transfer prog, lauded internationally for its reach &amp; transparency, with India.
https://t.co/CcvUf6wERM"
160,"Saddened to learn, only today, of the passing of Dr Ijaz Ahsan. He was a founder mbr of PTI &amp; stood by us during the difficult days when our Party was being mocked by the status quo. He was a mbr of our CEC &amp; diligently attended all mtgs. My prayers &amp; condolences go to the family"
161,"دنیانےجوواحدحل دریافت کیاہےوہ ""سمارٹ لاک ڈاؤن"" ہےجس میں خصوصی تدابیرکے ذریعےمعاشی سرگرمیوں کی گنجائش نکلتی ہے۔ہماراشماراس سوچ کےسرخیلوں میں ہوتا ہے۔ میری سول سوسائٹی/میڈیا/علماء/ٹائیگر فورس سےالتماس ہےکہ وباءکی شدت اور احتیاطی تدابیر سختی سے اپنانےکےحوالےسےعوام میں شعوراجاگرکریں۔"
162,ایسے میں ہماری اشرافیہ کا ایک حصہ جسے رہنے کیلئے وسیع و پرآسائش رہائشگاہیں میسر  اور جسکی آمدن محفوظ ہے، ملک میں بندشیں چاہتا ہے۔ یہ بندشیں معیشت کی تباہی، نادار ممالک میں غربت میں تیزی سے اضافے اور غریبوں کو کچلنے کے مترادف ہیں جیسا کہ بھارت میں مودی کےلاک ڈاؤن کے نتیجے میں ہوا۔
163,ہماری حکومت کو آج جو المیہ درپیش ہے وہ اس ویڈیو میں واضح ہے: ایک جانب وہ لوگ ہیں جو وباء کو سنجیدگی سے نہیں لے رہے جبکہ دوسری جانب ہمارے ڈاکٹرز اور طبی معاونین وغیرہ ہیں جو بیماری کیخلاف صف اول میں برسرِ پیکار اور قابل فہم طور پر سنگین خطرات سے دوچار ہیں۔ https://t.co/AEhs2V62Oq
164,"world has discovered is smart lockdown which allows for economic activity with SOPs. We are amongst pioneers of this approach.I appeal to civil society, media, Ulema &amp; our tiger force to create awareness amongst the public of COVID19's severity &amp; the need to strictly observe SOPs"
165,"wanting a lockdown - the elite who have the privilege of spacious homes &amp; income unaffected by fallout of lockdown. A lockdown means collapse of the economy &amp; in poorer countries a steep rise in poverty, crushing the poor as happened in Modi's lockdown in India. Only solution as"
166,"This video shows the dilemma confronting our govt today: On the one hand we have the masses who are not taking the COVID19 pandemic seriously &amp; on the other hand, understandably, we have our frontline doctors &amp; health professionals, who are at great risk, &amp; some of our elite https://t.co/AEhs2V62Oq"
167,اس نظم سے وہ انداز جھلکتا ہے جسے میں سلیقہ حیات بنانے کی کوشش کرتا ہوں۔ نوجوانوں کو میری تلقین ہے کہ وہ اس نظم کو سمجھیں، اپنائیں اور یقین کر لیں کہ اس سے ان خداداد صلاحیتوں میں خوب نکھار آئے گا جو بطور اشرف المخلوقات رب کریم نے ہم سب کو عطا کر رکھی ہیں۔ https://t.co/iRGay8s8XC
168,I stand corrected - this is not Allama Iqbal's poem but the message conveyed is what I have stood by and tried to follow and if our youth absorbs this message it will release their great God- given potential that all of us possess as His greatest creation Ashraf ul Mukhluqat. https://t.co/SvDVrakc5d
169,This poem by Iqbal reflects how I try to lead my life. I urge our youth to understand and absorb the poem of the great Iqbal and I guarantee them that it will release their great God-given potential that we all possess as His greatest creation Ashraf ul Mukhluqat. https://t.co/oyxkTlMrdc
170,"ہم نےپٹرول، لائیٹ ڈیزل آئل اورمٹی کےتیل کومزید سستا کردیاہے۔جنوبی ایشیاءکےدیگر ممالک کےمقابلےمیں اب ہمارےہاں ایندھن کم ترین نرخوں پردستیاب ہے۔ بھارت میں یہ ہم سےدوگنا مہنگا ہےجبکہ بنگلہ دیش،سری لنکا اورنیپال وغیرہ میں اس کےنرخ ہم سے 50 سے 75% تک زیادہ ہیں۔
https://t.co/oD9wVMcZno"
171,"We have further reduced petrol, light diesel oil, kerosine oil prices. Now we have the cheapest fuel cost compared to other states in South Asia. India is almost exactly double. Bangladesh, Sri Lanka &amp; Nepal are all 50 to 75 percent more expensive than us. https://t.co/oD9wVMcZno"
172,مقبوضہ کشمیر پرغیرقانونی قبضہ جمانےجو کہ چوتھےجینیواکنونشن کےتحت ایک جنگی جرم ہے،اور آزاد کشمیر پر دعویٰ کے بعد یہ سب! میں ہمیشہ سےکہتا آیا ہوں کہ سفاک مودی سرکار بھارتی اقلیتوں جنہیں اس نے کمترشہریوں کادرجہ دےرکھا ہے،کیلئےہی خطرناک نہیں بلکہ علاقائی امن کوبھی اس سےنہایت خطرہ ہے۔
173,نازیوں کی لیبینزورم (لیونگ سپیس) کی طرح ہندوتواکےخمیرسےجنم لینے والی مودی سرکارکی توسیع پسندانہ پالیسیز بھارت کے ہمسایوں کیلئےمسلسل خطرہ ہیں۔ شہریت کے قانون سے بنگلہ دیش تو ایک جعلی کارروائی سےپاکستان کوخطرہ ہےجبکہ نیپال/چین کیساتھ سرحدی تنازعات صورتحال کی سنگینی کو ہوا دےرہےہیں۔
174,"All this after illegal annexation of IOJK, a war crime under 4th Geneva Convention, &amp; laying claim to AJK. I have always maintained the fascist Modi Govt is not only a threat to India's minorities by relegating them to 2nd class citizens' status, but also threat to regional peace"
175,"The Hindutva Supremacist Modi Govt with its arrogant expansionist policies, akin to Nazi's Lebensraum (Living Space), is becoming a threat to India's neighbours. Bangladesh through Citizenship Act, border disputes with Nepal &amp; China, &amp; Pak threatened with false flag operation."
176,عیدِ سعید کے موقع پر خصوصی تہنیتی پیغام اور نیک خواہشات کیساتھ مقبوضہ جموں و کشمیر میں قابض بھارتی افواج کی جاری بربریت کا نہایت ہمت و جوانمردی سے سامنا کرنے اور غیرانسانی محاصرے کے دوران صبر و استقامت کا پہاڑ بن کر ڈٹے رہنے پر اہلِ کشمیر کو ہمارا سلام۔
177,"Wishing a special Eid Mubarak to Kashmiris in IOJK, and admiration for their patience and courage during the inhumane lockdown and continuing oppression by Indian Occupation forces."
178,دوسرا یہ کہ ہم میں سے ہر کوئی وباء کے حوالے سےمتعارف کردہ خصوصی تدابیر یعنی SOPs کا بھرپور خیال اور لحاظ رکھے۔ مرض ہمارے درمیان موجود ہے چنانچہ ادائیگئ نمازِ عید سمیت پوری چھٹیوں کے دوران سماجی فاصلوں کا بطور خاص اہتمام کیا جائے۔ اللہ پاک اپنی رحمت ہم پر سایہ فگن فرمائیں، آمین
179,میں چاہتا ہوں کہ اس مرتبہ قوم روایت سے ہٹ کر عید الفطر کی خوشیاں منائے۔ سب سے پہلے ہم ان خاندانوں کیلئے دستِ دعا بلند کریں جن کے پیارے ہوائی جہاز کو پیش آنے والے سانحے میں ان سے بچھڑ گئے یا وباء (COVID 19) کے نتیجے میں ان سے جدا ہوگئے۔
180,"Second, everyone must remember to observe the SOPs in place for COVID19. The disease is with us &amp; social distancing must be strictly observed throughout the Eid holidays, including during Eid prayers. May Allah bless our nation."
181,"I want our nation to observe this Eid in a different manner from the usual celebratory style. First, let us think of &amp; pray for all those families who have been deprived of their loved ones by the plane crash tragedy &amp; all those who have lost their lives to COVID19."
182,المناک فضائی حادثے میں قیمتی جانوں کے ضیاع پر تعزیتی پیغامات بھجوانے پر میں عالمی رہنماؤں کا شکرگزار ہوں۔ سوگ کے ان لمحات میں ڈھارس بندھانے اور اظہارِ یکجہتی کو پاکستان کی عوام نہایت قدر کی نگاہ سے دیکھتی ہے۔
183,I thank world leaders for reaching out to condole over the tragic air crash and loss of precious lives. The people of Pakistan value this support and solidarity in our hour of grief.
184,پی آئی اے کاطیارےگرنےپردل نہایت رنجیدہ اورمغموم ہے۔ میں سی ای او ارشد ملک جو کراچی روانہ ہوچکےہیں اورموقع پرموجود امدادی ٹیموں کےساتھ رابطے میں ہوں کہ فی الوقت یہ اولین ترجیح ہے۔ اس سانحے کی فوری تحقیقات کروائی جائیں گی.میری دعائیں اورتمام ترہمدردیاں متاثرہ خاندانوں کیساتھ ہیں۔
185,"Shocked &amp; saddened by the PIA crash. Am in touch with PIA CEO Arshad Malik, who has left for Karachi &amp; with the rescue &amp; relief teams on ground as this is the priority right now. Immediate inquiry will be instituted. Prayers &amp; condolences go to families of the deceased."
186,میں دوبارہ دہرا رہا ہوں کہ مقبوضہ جموں و کشمیر میں جاری قتلِ عام سے دنیا کی توجہ ہٹانے کیلئے بھارت کی جانب سے ایک جعلی کارروائی (فالس فلیگ آپریشن) کے امکانات نہایت روشن اور واضح ہیں۔
187,"بھارت کے9 لاکھ عسکری اہلکارکشمیریوں پر ستم ڈھا رہےہیں۔ کل ان قابض فوجیوں نےسری نگر میں 15 گھرنذرآتش کردیے۔ہندوتوا پر ایمان رکھنےوالی قابض مودی سرکارچوتھےجینیوا کنونشن کی خلاف ورزی کرتےہوئے آبادی کاتناسب بدلنےکیساتھ مقبوضہ کشمیر میں جنگی جرائم کی مرتکب ہے۔
 https://t.co/18esq9AryE"
188,I am reiterating again that a false flag operation is imminent from India in order to divert world attention away from its ongoing genocide in IOJK.
189,15 homes torched by Indian Occupation forces in Srinagar yesterday as 900k security forces subject Kashmiris to brutal oppression. Modi's Hindutva Supremacist Occupation Govt is committing war crimes in IOJK including changing the demography in violation of 4th Geneva Convention https://t.co/18esq9AryE
190,پاکستان سٹاک ایکسچینج میں مسابقتی عمل (کمپیٹیٹو بک بلڈنگ)کےذریعے 200 ارب کے سکوک بانڈز کےاجراء کےتاریخ سازمالی تجربےکےنتیجےمیں 170% سےزائد کی شراکت حاصل ہوئی جوہماری پالیسیوں پر منڈی کےٹھوس اعتمادکی مظہرہے۔اس سے حکومت کو 18 ارب روپےکی بچت ہوئی جو اب عوامی فلاح پرخرچ کی جاسکتی ہے۔
191,"Landmark financial innovation with Rs 200 bn Sukuk issued through competitive book building at PSX. Oversubscribed by 170%, reflecting a strong market confidence in our Govt's policies. As a result govt saved Rs18 billion - savings that can now be used for welfare of the people."
192,"Yesterday I met recipients of #EhsaasEmergencyCash Category IV for labourers laid off work, funded by Prime Minister’s COVID Relief Fund. For every rupee donated, govt will give 4 more. Ehsaas data &amp; transparency rules apply fully. Applications are open at https://t.co/yQ1oWiVt8w"
193,میں نے وزیراعظم کورونا ریلیف فنڈکوان مستحق افراد کیلیئے مختص کیا ہے جوکورونا لاک ڈاؤن کی وجہ سے بے روزگارہوگئے ہیں۔ ہرایک روپیہ عطیہ کرنے پرحکومت کی جانب سے4روپے فنڈمیں شامل کیئے جائیں گے۔احساس ایمرجنسی کیش کے شفافیت کے تمام ضابطےاس فنڈ کے تحتCategory-4 کی ادائیگیوں پرلاگوہوں گے۔
194,ثالثاً خودارادیت کیلئےاہل کشمیر کےجدوجہد کےحق کو(سلامتی کونسل کی قراردادیں جس کی ضامن ہیں) پاکستان کی ایماء پرکی جانے والی دہشت گردی کا رنگ دیکر مقبوضہ جموں و کشمیر میں بھارت کی ریاستی دہشتگردی سےدنیا کی توجہ ہٹاتے ہوئے پاکستان کیخلاف ایک جعلی کارروائی کے امکانات پیدا کئے جائیں۔
195,"1.بچوں/خواتین کیخلاف چھرےوالی بندوقوں سمیت غیرانسانی اسلحےکےبل پر پورےجبر سےانہیں کچلاجائے 2.ادویہ و خوراک سمیت بنیادی اشیائے ضروریہ سے محروم کرنے کیلئےکرفیو نافذکیاجائے 
3.اہل کشمیر خصوصاً نوجوانوں کی بڑےپیمانےپرگرفتاریوں/ذرائع مواصلات کےانقطاع کےذریعے کشمیرکودنیاسےکاٹ ڈالاجائے۔"
196,مقبوضہ جموں و کشمیر کے حوالے سے مودی کا RSS سے متاثرہ نظریہ نہایت واضح ہے: اولاً مقبوضہ خطے پر غیر قانونی قبضے کے ذریعے اہلِ کشمیر کو حق خودارادیت سے محروم کیا جائے۔ثانیاً ایک سہ-شاخہ حکمت عملی کے ذریعے ان سے کمتر انسانوں کا سا برتاؤ کیا جائے
197,"Third, by trying to show Kashmiris' right to struggle for self determination guaranteed in UNSC Resolutions as terrorism being abetted by Pakistan - to create opp for a false flag operation against Pak while detracting world attention away from Indian state terrorism in IOJK."
198,"inhumane weapons like pellet guns against women &amp; children; two, imposing an inhumane lockdown depriving Kashmiris of basic necessities from food to medicines; &amp; three, by mass arrests of Kashmiris esp youth &amp; isolating IOJK from the world by cutting off all communication links."
199,"Modi's RSS-inspired doctrine on IOJK very clear: First, deprive Kashmiris of their right of self determination by illegal annexation of an Occupied territory. Second, treat them as less than human by a three-pronged approach: one, trying to crush them with brute force incl using"
200,یورپی یونین 1ارب درختوں کی تنصیب سمیت ماحولیات کےتحفظ کیلئےہمارے اقدامات اورانسانی حقوق کےحوالےسےقومی منصوبہ عمل کی تحسین کرچکی ہے۔چونکہ GSP پلس ہماری تجارت و معیشت کیلئے سودمند ثابت ہورہاہےچنانچہ قوم کےبہترین مفاد میں ہم انسانی حقوق سے متعلق اپنے فرائض نبھانے کیلئےپرعزم ہیں۔
201,ہم نے وراثت میں خواتین کاحصہ یقینی بنانے کیلئےقانون نافذکیاجبکہ بچوں سےمزدوری کےانسداد، خواجہ سراؤں کےمفادات کےتحفظ، تشدد سمیت دیگرموضوعات پرقوانین میں سےسقم ہٹانے،اہل صحافت/شعبہ ابلاغ سےمنسلک پیشہ ورافرادکی حفاظت سمیت دیگرانسانی حقوق کےحوالےسےاپنی ذمہ داریاں نبھانےکیلئےپرعزم ہیں
202,یورپی یونین کے جی ایس پلس معاہدے سے پاکستان کی تجارت مستفید ہوئی ہے۔ جی ایس پی پلس معاہدے میں شامل انسانی حقوق کے 6 کنونشنز سمیت ہم ان تمام 27 بین الاقوامی کنونشز جن کا پاکستان حصہ ہے، کے تحت اپنے ذمہ داریاں پوری کرنے کیلئے پرعزم ہیں۔ یہ معاہدے ہمارے لئے سودمند ہیں۔
203,Already our Green initiatives incl our Billion Tree Tsunami &amp; our Human Rights National Action Plan have been appreciated by the EU. As our trade &amp; economy continue to benefit from GSP Plus we are committed to furthering our human rights commitments for the benefit of our ppl.
204,"We have enacted a law to ensure women's right to inheritance; are committed to enforcing laws against child labour &amp; in support of transgenders; filling in legislative gaps including on torture, protection of journalists &amp; media professionals &amp; our other human rights commitments."
205,"Pakistan's trade has benefited from the EU's GSP Plus agreement. We intend to continue working to fulfill our commitments under the 27 Int Conventions we are party to, incl 6 Human Rights Conventions, &amp; which are part of GSP Plus agreement. These commitments are beneficial for us"
206,بندشوں کےباعث بےروزگارہونےوالوں کو وزیراعظم ریلیف فنڈ سےمعاوضہ دیاجائےگا۔ ٹائیگرفورس ملک بھرمیں متاثرین کااندراج کررہی ہے۔ بےروزگارہونےوالےویب سائیٹ کے ذریعےبھی اندراج کرسکتے ہیں۔ ٹائیگر فورس(خواتین) منصوروالی،تحصیل وزیرآباد میں لوگوں کی نشاندہی کررہی ہے۔ https://t.co/mdCXYqyLv8
207,"The PM Relief Fund will be giving cash to those made unemployed by the lockdown. The Tiger Force is registering affectees across the country. Those who have become unemployed can also register on the website. 
Tiger Force (women) identifying people in Mansurwali, Tehsil Wazirabad https://t.co/mdCXYqyLv8"
208,بھارتی تسلط کیخلاف اہل کشمیر کی مزاحمت  کشمیریوں پر بھارتی جبر و بربریت کا براہ راست نتیجہ ہے۔ آر ایس ایس اور بی جے پی کی سفاک پالیسیاں سنگین خطرات سے بھرپور ہیں۔ عالمی برادری بے عملی ترک کرے اس سے پہلے کہ بھارت کی کوئی احمقانہ حرکت جنوبی ایشیاء کے امن و سلامتی کو تاراج کردے۔
209,"میں بھارت کی جانب سے پاکستان کو نشانہ بنانے کیلئے کسی جعلی کارروائی (فالس فلیگ آپریشن) کا جواز تراشنے کی پیہم کوششوں کے بارے میں دنیا کو خبردار کرتا آیا ہوں۔ جنگ بندی لکیر کے آر پار ""دراندازی"" کے تازہ ترین اور بے بنیاد بھارتی الزامات اسی خطرناک ایجنڈے کا تسلسل ہیں۔"
210,Indian Occupation is a direct consequence of India's oppression &amp; brutalisation of Kashmiris.The fascist policies of the RSS-BJP combine are fraught with serious risks. The international community must act before India's reckless moves jeopardise peace &amp; security in South Asia.
211,"I have been warning the world about India's continuing efforts to find a pretext for a false flag operation targeting Pakistan. Latest baseless allegations by India of ""infiltration"" across LoC are a continuation of this dangerous agenda.The Indigenous Kashmiri resistance against"
212,"روسی وزیراعظم میخائیل میشوستن کی جلد شفایابی اور عمدہ صحت کیلئے دعا گو ہیں۔ کرونا وائرس ایک مشترکہ چیلنج ہے اور اس چیلنج سے نبرد آزما ہونے کیلئے ہم اپنے روسی احباب کیساتھ ہیں۔
@mfa_russia @GovernmentRF"
213,"Wishing PM of Russia Mikhail Mishustin a speedy recovery and good health. Corona virus is a common challenge and we stand together with our Russian friends in battling this challenge.
@mfa_russia @governmentRF"
214,"ایک تیر سے دو شکار: 

شجرکاری کیساتھ لوگوں کیلئے وسیلئہ روزگار کا بھی اہتمام۔ 
 https://t.co/ZrYs6ZarO3"
215,Killing two birds with one stone: giving people employment as well planting trees. https://t.co/ZrYs6ZarO3
216,"بندشوں (لاک ڈاؤن) کےموسم میں ہمارے نوجوانوں کےمطالعےکیلئےایک لاجواب انتخاب۔ یہ کتاب ان تاریخی عوامل کا نہایت خوبصورت مگر مختصر مجموعہ ہے جنہوں نے  تمدنِ اسلامی کو اپنے دور کی عظیم ترین تہذیب کی شکل دی اوران عوامل سےپردہ اٹھاتی ہے جو اسکے زوال کی وجہ بنے۔ 
 https://t.co/XdTSLFmIjj"
217,A great read for our youth during lockdown days. An excellent brief history of the driving force that made Islamic civilisation the greatest of its time and then the factors behind its decline. https://t.co/XdTSLFmIjj
218,"اورمقبوضہ وادی جسےاقوام متحدہ متنازعہ علاقہ تسلیم کرتی ہے,میں آبادی کاتناسب بدلنےکیلئےکوشاں ہے۔چوتھےجینیواکنونشن اورعالمی انسانی قوانین کی یکسرپامالی کے نتیجےمیں سامنےآنےوالےبھارت کےجنگی جرائم کانوٹس لینااور راست اقدام اٹھانابین الاقوامی برادری کےذمے ہے۔  https://t.co/7VndmstQKJ"
219,"آر ایس ایس کےخمیر میں گندھےنسل پرستی کےسفاک نظریے ""ہندوتوا"" کا علم ہاتھ میں لئے مودی سرکار کروناء (COVID19) جیسی عالمی وباء کی اوٹ میں بھی چوتھے جینیوا کنونشن کی صریحاً خلاف ورزی کرتے ہوئے مقبوضہ جموں و کشمیر میں اہلِ کشمیر کا قتل عام جاری رکھےہوئے ہے۔ 
https://t.co/ezFAQBhE7I"
220,the demography in Occupied Jammu &amp; Kashmir -  a territory recognised as disputed by UN. The international community has a responsibility to take note of &amp; act against these war crimes by India in violations of 4th Geneva Convention &amp; int humanitarian laws. https://t.co/7VndmstQKJ
221,"Under cover of COVID19 global pandemic, the Modi Govt with its fascist Hindutva Supremacist RSS-driven ideology continues its war crimes in IOJK as it violates the Fourth Geneva Convention by continuing its genocide of Kashmiris: &amp; by attempting to change https://t.co/ezFAQBhE7I"
222,گورنر سندھ عمران اسماعیل کی کروناء (COVID19) سے جلد شفایابی کیلئے دعا گو ہوں۔ رب العالمین سے دعا ہے کہ وہ انہیں مرض کیخلاف مزاحمت کی قوت اور سکت عطا فرمائیں۔
223,Praying for Governor Imran Ismail's speedy recovery from COVID19. May Allah grant him the strength to fight this.
224,آج میں اپنے ان بانی اراکین، نعیم الحق، احسن رشید اور سلونی بخاری کو بھی یاد کرنا چاہتا ہوں جن کی رفاقت سے آج ہم محروم ہیں۔
225,2. ریاستی و قومی وسائل کو اشرافیہ کے مضبوط شکنجے سے چھڑوا کر انکی ازسرِ نو اور قدرے منصفانہ تقسیم کہ محروم اور نادار شہریوں کیلئے غربت سے نجات ممکن ہو سکے۔ ہماری یہ جدوجہد کسی بھی سیاسی جماعت سے زیادہ طویل، کٹھن اور صبر آزما رہی ہے۔
226,"24برس قبل آج ہی کےدن تحریک انصاف نے قائد کےویژن کی روشنی میں پاکستان کوایک جدیداسلامی فلاحی ریاست کیصورت میں ڈھالنےکےاپنےنصب العین کیجانب سفرکا آغازکیا۔اس مقصد کیلئےہمیں درج ذیل سنگ میل عبور کرناتھے: 
1.قانون کی ایسی بالادستی کا قیام کہ اسکی نظرمیں سب برابراورطاقتور اسکےتابع ہوں۔"
227,"Today I want to remember our founding members who are not with us anymore - Naeemul Haq, Ahsan Rasheed and Saloni Bokhari."
228,2. Break the stranglehold of the elite capture of our state &amp; of our nation's resources; &amp; redistribute these resources more equitably in order to lift our poor out of poverty. Ours has been a long &amp; arduous struggle - more than any other political party.
229,"24 years ago today, PTI embarked on our mission of achieving our Quaid Jinnah's vision for Pakistan as a modern Islamic welfare state. To achieve this we had to achieve the following: 1. Rule of Law where all are equal before the law &amp; the powerful are brought under the law."
230,"دنیابھرمیں COVID-19 کیخلاف جہاد میں پاکستانی طبی ماہرین اگلےمحاذوں پرسرگرم ہیں۔بیماری کےانسدادکیلئےوہ ہمارا ہاتھ بھی بٹانا چاہتےہیں۔ ہم نے بیرون ملک موجود اپنے ان طبی ماہرین کیلئے @YaranWatan کےعنوان سےایک قدم اٹھایا ہےجسکےذریعےوہ اپنا اندراج کرواسکتےہیں۔
 https://t.co/O0MkyDMNDs"
231,Pakistani health professionals are on the frontline in the fight against #COVID19 across the world. They also want to help us combat COVID19 in Pak.  We have launched @YaranWatan iniitiative for our overseas health professionals who can now register to volunteer their services. https://t.co/O0MkyDMNDs
232,"آئیں! رمضان کےاس مقدس مہینے میں من حیث القوم عہد کریں کہ اپنے محروم شہریوں کو غربت کی دلدل سےنکال کر اسی طرح صف اول میں کھڑا کریں گےجیسے نبی مکرم علیہ الصلٰوۃ والسلام نے دنیا کی پہلی فلاحی ریاست یعنی ""ریاست مدینہ"" میں کیا اور جیسے چین نے 700 ملین لوگوں کو غربت سے نجات دلا کر کیا۔"
233,جبھی ہم نےدیہاڑی دار مزدوروں،خوانچہ فروشوں،محنت کشوں، جوخودغربت کی چکی میں پستےاور انکے اہل وعیال بھوک/فاقہ کشی سہتے ہیں،کو درپیش نتائج کی پرواہ کئےبغیرمکمل ناکہ بندی (لاک ڈاؤن)کانعرہ لگایا۔ اللہ پاک اپنےمحروم/نادار شہریوں کونظرانداز کرنےجیسے گناہ کےارتکاب پرہمیں معاف فرمائیں۔
234,دنیا بھر میں اہل اسلام کو ماہ صیام مبارک۔ پاکستان میں ہم اس مبارک مہینےکو رب کریم سےمعاشرےکےغریب اورکمزورطبقےکو نظراندازکرنےجیسےگناہ کی معافی مانگنےکا وسیلہ بنائیں۔ہم نےبحثیت قوم اس طبقےکو فراموش کرتے ہوئےوباء سمیت ہرمعاملےمیں ہمیشہ اشرافیہ کےمفادات سےہم آہنگ فیصلہ سازی ہی کی ہے۔
235,"Let us also resolve as a nation, in this holy month of Ramazan, to lift our marginalised citizens out of poverty &amp; mainstream them as our Prophet PBUH did in the world's first welfare state - Riyasat-i- Madina - and as China has done in lifting 700 m people out of poverty."
236,"When we sought a total lockdown without thinking about the consequences for the daily wage earners, the street vendors, the labourers, all of whom face poverty &amp; hunger for themselves &amp; their families. May Allah forgive us our sin of neglecting our dispossessed &amp; poor citizens."
237,"Ramazan Mubarak to Muslims across the world. We in Pakistan must use this holy month to ask Allah for forgiveness for neglecting the poor &amp; vulnerable in our society. We as a nation have been elite-centric in our policies, with no thought for these people, incl in the pandemic"
238,مقبوضہ کشمیرمیں یہ غیرانسانی سیاسی و عسکری کرفیوگزشتہ 8 ماہ سے زائد عرصے سےبغیرکسی طبی،مالی،مواصلاتی اورغذائی امدادکےجاری ہے۔حقیقت تو یہ ہے کہ نسل پرست نظریے ہندوتوا کی پیروکار مودی سرکارنےیقینی بنایا ہےکہ اس ناکہ بندی کے دوران اہل کشمیربنیادی اشیائےضروریہ سے بھی یکسرمحروم رہیں۔
239,تمام ترطبی، مالی، مواصلاتی اور غذائی امداد کی فراہمی کے باوجود دنیا کے مختلف حصوں میں وباء کے دوران بندشوں کیخلاف احتجاجی مظاہرے کئے جارہے ہیں. غالباً اقوام عالم اب مقبوضہ جموں و کشمیر کی عوام کی تکالیف کااندازہ لگا سکتی ہیں جنہیں بدترین جبر کا سامنا ہے۔
240,"Under an inhumane politico-mly lockdown continuing for over 8 months now without any provision of medical, financial, communication or food assistance. In fact the racist Hindutva Supremacist Modi Govt has ensured that Kashmiris are deprived of all basic amenities during lockdown"
241,"Demonstrations in various parts of the world are now going on against lockdowns during a pandemic - despite prov of medical, financial, communication &amp; food assistance. Perhaps now int community can understand the suffering of Kashmiris in IOJK as they suffer brutal oppression"
242,"عوام کیلئے میرا پیغام کہ جس قدر ممکن ہو سکے خود کو گھروں تک محدود رکھیں۔ جتنا لوگ خود کو نظم و ضبط سے آراستہ کریں گے اتنا ہی ہمارے لئے وباء (COVID19) سے نمٹنا آسان ہوگا اور بندشوں میں مرحلہ وار نرمی بھی ممکن ہوپائے گی۔ 
https://t.co/YEOS4Hb6iu"
243,"My message for people is to stay home as much as possible during this pandemic. The more people show self-discipline, the easier it will be for us to manage the COVID19 plus ease the lockdown gradually https://t.co/YEOS4Hb6iu"
244,ہزاروں افرادکوبھوک/مصائب میں پھانسنے والی اپنی ناکام کروناپالیسی کیخلاف ردعمل سےتوجہ ہٹانے کیلئےمودی سرکارکا جان بوجھ کرمسلمانوں کونشانہ ستم بنانا ویسا ہی ہے جیساجرمنی میں نازیوں نے یہودیوں کیساتھ کیا۔نسلی بالادستی کےنظریے ہندوتوا سے مودی سرکار کےگہرے تعلق کا یہ ایک اور ثبوت ہے۔
245,"The deliberate &amp; violent targeting of Muslims in India by Modi Govt to divert the backlash over its COVID19 policy, which has left thousands stranded &amp; hungry, is akin to what Nazis did to  Jews in Gerrmany. Yet more proof of the racist Hindutva Supremacist ideology of Modi Govt."
246,آج اپنے دیرینہ دوست علی حبیب کی رحلت پر رنجیدہ اور مغموم ہوں۔ وہ ملک کی ایک قابلِ احترام کاروباری شخصیت تھے جو شوکت خانم میموریل ٹرسٹ کے بورڈ کے رکن اور وزارتِ تجارت میں اعزازی طور پر ہماری حکومت کا ہاتھ بٹا رہے تھے۔
